name,download,link,best,comment
지도 제작자들,1817723272,11722,3,
플릿 더 다이스 게임,1815452941,10913,1,
오리엔트 익스프레스,1333292796,5749,1,
디스 워 오브 마인,2245379584,6676,1,
로빈슨 크루소(4),897553506,932,4,
지구를 떠나다,1165390172,6059,1,
서쪽 왕국의 성기사들,1687535617,10619,1,
메이지나이트(2),936617750,519,2,
미스터 잭,1485406459,368,2,
산토리니,937980433,6694,2,
숲 속의 여우,1298133888,8706,2,
해적들의 약탈,1643422034,1074,2,
버팔로 체스,1691350095,11226,2,
하나미코지,1555561870,7123,2,
카후나,1153818768,563,2,
임호텝 듀얼,1732813337,11101,2,
베런파크,1674719183,9107,3,
웰컴 투,1682434402,9868,5,
이스탄불 주사위 게임,1734033461,9319,2,
카르카손,263788054,135,2,지도 조각을 맞춰 점수를 얻는 게임
리스크 스타워즈,1304274300,6026,2,
자이푸르,1152124532,533,2,
미니빌,1789467526,3565,4,
워 체스트,1975715363,9918,2,
기프,858764109,558,2,
인쉬,283304347,577,2,
히어로 렐름,1162095121,7049,2,
아키올로지: 새로운 탐험,1144921234,6282,4,
스플랜더,2023213924,3516,3,
몰타의 관문,1198835784,5972,2,
사그라다,1423161892,7328,2,
★아줄,2143374769,9032,4,
기즈모,1571845499,9789,3,
★화이트홀 미스테리,1552367730,9278,2,
★반지의 제왕 대결,1960728551,876,2,
크베들린부르크의 돌팔이 약장수,1723100170,9737,4,
케번 터번,1610422169,9688,2,
랩터,1761314944,5670,2,
★오시리스를 향한 항해,917380333,9023,2,
석기시대,1158317009,214,3,
뤄양의 사람들,1303928787,440,2,
타르기,1755124810,1324,2,
도망자,,,,
★7 원더스 대결,2125928622,5222,2,2명이서 즐기는 7 원더스
안드로이드 넷러너,,,,
레포겔,,,,
오부족,,,,
버건디의 성,,,,
그오호,,,,
코임브라,,,,
시즌스,,,,
아를의 평원,,,,
그웨트,,,,
촐킨,,,,
황혼의 투쟁,,,,
카베르나,,,,
트라야누스,,,,
푸드 체인 거물,,,,
트릭과 괴인,,,,
캡틴 블랙잭,,,,
러브크래프트 레터,,,,
마스크 맨,,,,
시타델,,,,
★와이어트 어프,,,,
몰타의 관문,,,,
산 후앙,,,,
티투알,,,,
티투알 유럽,,,,
★차이나타운,,,,
클랭크,,,,
도미니언,,,,
역사의 흐름,,,,
워터딥의 군주들,,,,
★마르코폴로,,,,
사무라이,,,,
★미친 왕 루드비히의 성,,,,
★미친 왕 루드비히의 두 성 사이에서,,,,
카탄,1909930780,274,4,
★석기시대,,,,
자금성,,,,
누스피요르드,,,,
뤄양의 사람들,,,,
클랜 오브 칼레도니아,,,,
서왕성,,,,
뉴턴,,,,
요코하마,,,,
코임브라,,,,
★비티컬처,,,,
오부족,,,,
르아브르,,,,
★이클립스,,,,
시즌스,,,,
촐킨,,,,
사이쓰,,,,
★러시안 레일로드,,,,
쓰루 디 에이지스,,,,
★아나크로니,,,,
카베르나,,,,
가이아 프로젝트,,,,
★브래스,,,,
빌리지,,,,
트루아,,,,
텀블링 다이스,,,,
듀얼 클래시 포커,,,,
익스플로딩 키튼,,,,
크라스 카리어트,,,,
란드운터,,,,
트릭과 괴인,,,,
보나베띠,,,,
스시 롤,,,,
지도 제작자들,,,,
판타지 왕국,,,,
스파이폴,,,,
컬러레또,,,,
스시고 파티,,,,
내부자,,,,
마스크 맨,,,,
미니빌,,,,
★왕의 핸드,,,,
★스컬,,,,
스컬킹,2048418667,4255,6,
워 체스트,,,,
보난자,,,,
티츄,1928977695,478,4,
7 원더스,2081630525,94,5,자신의 제국을 키워나가자
센추리,,,,
산 후앙,,,,
브룸 서비스,,,,
해저탐험,,,,
아브라카 왓,,,,
티투알,,,,
티투알 유럽,,,,
포뮬라 D,,,,
이스탄불,,,,
하코온나,,,,
루트,,,,
★런던,,,,
★시드마이어의 문명 : 새벽,,,,
★엔데버,,,,
★비티컬처,,,,
푸에르토리코,,,,
아그리콜라,,,,
르아브르,,,,
요코하마,,,,
★위대한 로렌초,,,,
★이클립스,,,,
와우,,,,
★러시안 레일로드,,,,
테라포밍 마스,895237791,6501,3,화성을 테라포밍하자
가이아 프로젝트,,,,
트라야누스,,,,
★브래스,,,,
푸드 체인 거물,,,,
빌리지,,,,
★트루아,,,,
트릭케리언,,,,
크툴루 다이스,,,,
츠로,,,,
스컬,,,,
딕싯,2180591230,14,6,설명을 듣고 진짜 카드를 맞춰보자
란드운터,,,,
라스베가스,,,,
해저탐험,,,,
벼룩 서커스,,,,
컬러레또,,,,
사무라이 소드,1614172710,249,6,
언더밸리,,,,
카멜롯의 그림자,,,,
하코온나,,,,
낫 얼론,,,,
브룸 서비스,,,,
카멜업,,,,
★미친 왕 루트비히의 두 성 사이에서,,,,
마닐라,467897898,1084,5,주식으로 돈을 벌어보자
두 도시 사이에서,,,,
엘 그란데,,,,
사이쓰,,,,
츠로,,,,
스컬,,,,
딕싯,,,,
달무티,2239290763,968,6,신분상승을 노려보자
젝스님트,,,,
코바야카와,,,,
스시고 파티,,,,
카멜업,,,,
로얄 터프,,,,
★코드네임,,,,
디크립토,,,,
스파이폴,,,,
카멜롯의 그림자,,,,
범인은 춤춘다,,,,
★뱅 주사위,,,,
★사보타지,389948658,5194,6,
크툴루를 건드리지 마라,,,,
토르투가 1667(7),,,,
디셉션 홍콩살인사건,,,,
세일럼,,,,
시크릿 히틀러,,,,
레지스탕스 아발론,,,,
 굿캅 배드캅,,,,
캐쉬 앤 건즈,,,,
★일급비밀스파이,,,,
★수도원의 미스테리,,,,
★미친 왕 루드비히의 성,,,,
★미친 왕 루드비히의 두 성 사이에서,,,,
룸25,,,,
언집배,,,,
좀비사이드,,,,
와우,,,,
★여명의 제국,,,,
★일급비밀스파이,,,,
범인은 춤춘다,,,,
멜롯의 그림자,,,,
토르투가 1667,,,,
쉐도우 헌터스,578726862,92,7,판타지풍 마피아 게임
 카,,,,
텔레스트레이션,,,,
굿캅 배드캅,,,,
캐쉬 앤 건즈,,,,
디셉션 홍콩살인사건,,,,
시크릿 히틀러,,,,
★코드네임,,,,
디크립토,,,,
